dataset_id,source,episode_id,pair_id,label,split,evaluation_role
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0000/ep-0000.tar,normal/ep-0000,normal/ep-0000,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0001/ep-0001.tar,normal/ep-0001,normal/ep-0001,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0003/ep-0003.tar,normal/ep-0003,normal/ep-0003,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0004/ep-0004.tar,normal/ep-0004,normal/ep-0004,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0005/ep-0005.tar,normal/ep-0005,normal/ep-0005,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0006/ep-0006.tar,normal/ep-0006,normal/ep-0006,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0007/ep-0007.tar,normal/ep-0007,normal/ep-0007,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0008/ep-0008.tar,normal/ep-0008,normal/ep-0008,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0009/ep-0009.tar,normal/ep-0009,normal/ep-0009,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0010/ep-0010.tar,normal/ep-0010,normal/ep-0010,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0011/ep-0011.tar,normal/ep-0011,normal/ep-0011,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0012/ep-0012.tar,normal/ep-0012,normal/ep-0012,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0013/ep-0013.tar,normal/ep-0013,normal/ep-0013,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0014/ep-0014.tar,normal/ep-0014,normal/ep-0014,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0015/ep-0015.tar,normal/ep-0015,normal/ep-0015,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0016/ep-0016.tar,normal/ep-0016,normal/ep-0016,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0017/ep-0017.tar,normal/ep-0017,normal/ep-0017,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0019/ep-0019.tar,normal/ep-0019,normal/ep-0019,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0021/ep-0021.tar,normal/ep-0021,normal/ep-0021,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0022/ep-0022.tar,normal/ep-0022,normal/ep-0022,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0023/ep-0023.tar,normal/ep-0023,normal/ep-0023,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0024/ep-0024.tar,normal/ep-0024,normal/ep-0024,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0026/ep-0026.tar,normal/ep-0026,normal/ep-0026,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0027/ep-0027.tar,normal/ep-0027,normal/ep-0027,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0028/ep-0028.tar,normal/ep-0028,normal/ep-0028,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0029/ep-0029.tar,normal/ep-0029,normal/ep-0029,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0031/ep-0031.tar,normal/ep-0031,normal/ep-0031,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0033/ep-0033.tar,normal/ep-0033,normal/ep-0033,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0034/ep-0034.tar,normal/ep-0034,normal/ep-0034,Normal,train,train_normal
